"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P05",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P06",911,7265,7,0,7265,7265,0,0,"true"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P07",7,56,7,0,56,49,0,0,"true"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P08",7,56,7,0,56,49,0,0,"true"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P09",611,4869,0,0,4869,4862,0,0,"true"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0056194541922Z_g2f27c6f5065a_42fbe687c18c452cb2f120cdf7967bc8",128768,130304,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P01",10,80,5,0,80,80,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P02",737,5896,4,0,5896,5891,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P03",20,160,4,0,160,156,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P04",6,48,4,0,48,44,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P05",414,3312,4,0,3312,3308,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P06",349,2775,0,0,2775,2771,0,0,"true"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P07",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P08",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P09",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0230082471288Z_gdb991aa68103_b9b719b139e44396ab233876cbdbf87b",130304,131840,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P04",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P05",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P06",984,7860,3,0,7860,7860,0,0,"true"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P07",3,24,3,0,24,21,0,0,"true"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P08",3,24,3,0,24,21,0,0,"true"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P09",34,257,0,0,257,254,0,0,"true"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0242228047566Z_gdb991aa68103_ee0cd73bdf6a44138b554c8841f8b901",131840,132864,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P04",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P05",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P06",0,0,0,0,0,0,0,0,"false"
