physics_tick,simulation_time_s,body_name,role,obstacle_pair_active,persistent_or_penetrating,body_collision,source,reason
317,2.6416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
318,2.65,base_link,BODY,False,False,False,body_contacts.jsonl,
319,2.658333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
320,2.6666666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
321,2.675,base_link,BODY,False,False,False,body_contacts.jsonl,
322,2.683333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
323,2.6916666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
324,2.7,base_link,BODY,False,False,False,body_contacts.jsonl,
325,2.7083333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
326,2.716666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
327,2.725,base_link,BODY,False,False,False,body_contacts.jsonl,
328,2.7333333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
329,2.7416666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
330,2.75,base_link,BODY,False,False,False,body_contacts.jsonl,
331,2.7583333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
332,2.7666666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
333,2.775,base_link,BODY,False,False,False,body_contacts.jsonl,
334,2.783333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
335,2.7916666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
336,2.8,base_link,BODY,False,False,False,body_contacts.jsonl,
337,2.808333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
338,2.8166666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
339,2.825,base_link,BODY,False,False,False,body_contacts.jsonl,
340,2.8333333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
341,2.841666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
342,2.85,base_link,BODY,False,False,False,body_contacts.jsonl,
343,2.8583333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
344,2.8666666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
345,2.875,base_link,BODY,False,False,False,body_contacts.jsonl,
346,2.8833333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
347,2.8916666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
348,2.9,base_link,BODY,False,False,False,body_contacts.jsonl,
349,2.908333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
350,2.9166666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
351,2.925,base_link,BODY,False,False,False,body_contacts.jsonl,
352,2.933333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
353,2.9416666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
354,2.95,base_link,BODY,False,False,False,body_contacts.jsonl,
355,2.9583333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
356,2.966666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
357,2.975,base_link,BODY,False,False,False,body_contacts.jsonl,
358,2.9833333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
359,2.9916666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
360,3.0,base_link,BODY,False,False,False,body_contacts.jsonl,
361,3.0083333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
362,3.0166666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
363,3.025,base_link,BODY,False,False,False,body_contacts.jsonl,
364,3.033333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
365,3.0416666666666665,base_link,BODY,False,False,False,body_contacts.jsonl,
366,3.05,base_link,BODY,False,False,False,body_contacts.jsonl,
367,3.058333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
368,3.0666666666666664,base_link,BODY,False,False,False,body_contacts.jsonl,
369,3.075,base_link,BODY,False,False,False,body_contacts.jsonl,
370,3.0833333333333335,base_link,BODY,False,False,False,body_contacts.jsonl,
371,3.091666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
372,3.1,base_link,BODY,False,False,False,body_contacts.jsonl,
373,3.1083333333333334,base_link,BODY,False,False,False,body_contacts.jsonl,
374,3.1166666666666667,base_link,BODY,False,False,False,body_contacts.jsonl,
375,3.125,base_link,BODY,False,False,False,body_contacts.jsonl,
376,3.1333333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
377,3.1416666666666666,base_link,BODY,False,False,False,body_contacts.jsonl,
378,3.15,base_link,BODY,False,False,False,body_contacts.jsonl,
379,3.158333333333333,base_link,BODY,False,False,False,body_contacts.jsonl,
