trial_id,phase,channel,channel_kind,metric,error_percent,within_30_percent,warning,blocks_task_success,source
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,measured_peak_velocity_error_percent,6.955844667684803,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,command_wheel_integral_error_percent,5.938011025647008e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_left_ankle,wheel,actual_wheel_integral_error_percent,0.19813803243343817,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,duration_error_percent,5.6991448597427944e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,command_average_velocity_error_percent,2.422304781000341e-13,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,measured_average_velocity_error_percent,0.2312568654999354,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,measured_peak_velocity_error_percent,22.1134370106261,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,command_wheel_integral_error_percent,5.938011025647008e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,front_right_ankle,wheel,actual_wheel_integral_error_percent,0.2579181278383268,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,duration_error_percent,5.6991448597427944e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,command_average_velocity_error_percent,2.422304781000341e-13,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,measured_average_velocity_error_percent,0.06700960624525777,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,measured_peak_velocity_error_percent,0.010944949363137686,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,command_wheel_integral_error_percent,5.938011025647008e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_left_ankle,wheel,actual_wheel_integral_error_percent,0.07249538422833922,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,duration_error_percent,5.6991448597427944e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,command_average_velocity_error_percent,2.422304781000341e-13,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,measured_average_velocity_error_percent,0.2541871415333448,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,measured_peak_velocity_error_percent,7.911536140851661,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,command_wheel_integral_error_percent,5.938011025647008e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P04,rear_right_ankle,wheel,actual_wheel_integral_error_percent,0.36623944678048526,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,command_endpoint_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,actual_endpoint_error_percent,1.6191292954185685,True,,False,raw observation/full12 ledgers vs immutable v010 contract
